"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
1,1.91593352883675,1,2.95237639218482,1,1.9531639262581,1,2.94800116563284,1,2.93611513217673,1,1.56407260208938,1,2.48552522483443,1,1.67273692182065,1,2.48286501881667,1,2.48288669501393,1,1.84949280490682,1,2.8024260912471,1,1.93151022419315,1,2.7997963037306,1,2.793451102924,1,2.3607347184583,1,4.55390503044579,1,2.24706219547148,1,4.60066996531565,1,4.56370406137434,1,2.04261106067088,1,5.21349891082773,1,2.00284341170206,1,5.30930098492541,1,5.30901005907947,1,2.36714975845411,1,4.34577548075055,1,2.27246376811594,1,4.4491400737903,1,4.4034434797226,1,1.9372374598468,1,2.94983789788824,1,2.05289342759885,1,2.95664448867904,1,2.95443575920593,0,1.70937541935297,0,2.5096343671312,0,1.73293495805768,0,2.5079559855165,0,2.50772705469759,1,2.03848153926157,1,2.64600905931233,1,1.98129896386151,1,2.63741993753022,1,2.63141830816088
1,1.77656922728303,1,2.62339578928953,1,1.88009592326139,1,2.62316893932105,1,2.60797429345545,1,1.57276793274728,1,2.37636320341215,1,1.55120839974183,1,2.37794330352037,1,2.37723105932968,1,1.80229885057471,1,2.83865867429231,1,1.81733889661567,1,2.83413936343321,1,2.83297805373865,1,2.28238719068413,1,16.1492772431835,1,2.85922684172137,1,16.628648955554,1,16.2749494997601,1,1.99051280142773,1,23.9398255809783,1,2.42314031608494,1,22.9940660841807,1,23.0014272282982,1,2.16514774924054,1,17.4430800894182,1,2.73934311670161,1,15.5771916548989,1,17.0448323293262,1,1.98883815322171,1,2.94464288439722,1,1.98581560283688,1,2.93181077595211,1,2.90774362352213,1,1.6739741532717,1,2.38965526381441,1,1.66780623082044,1,2.38809167441938,1,2.38733505299157,1,1.93151022419315,1,2.70348230783243,1,1.91312835529527,1,2.7000937641104,1,2.70067521265756
1,1.87604690117253,1,2.76600410341478,1,1.92298258523424,1,2.76165806281886,1,2.75821407591567,1,1.5128429513525,1,2.46638788883564,1,1.55547289018786,1,2.46351732018916,1,2.46345330219147,1,1.82495344506518,1,2.72865259250457,1,1.81229773462783,1,2.72102546553988,1,2.71607580304037,1,2.27048942948161,1,5.5547085687327,1,2.38878732480195,1,5.52813199695586,0,5.48671512936212,1,1.92942289447854,1,4.57967298737342,1,2.09169413606593,1,4.59801358836954,1,4.59850511196145,1,2.22600795002839,1,4.57900033957602,1,2.39975512702785,1,4.58033293866157,1,4.55434405558683,1,1.96491228070175,1,2.7158692122211,1,1.93867457962413,1,2.71169193089032,1,2.70481413018291,1,1.69275471594864,1,2.51252298883704,1,1.72500995062754,1,2.50771555858376,1,2.50726413258847,0,2.00871124775813,0,3.02536063778904,0,1.91593352883675,0,3.02406058110694,0,3.02344345221992
1,1.77777777777778,1,2.84662182255306,1,1.86800095306171,1,2.84240327191892,1,2.84987500537736,0,1.62353877706121,1,2.45130897228475,0,1.60170775316584,1,2.44950352475433,1,2.44676476862315,1,1.79610538373425,1,2.6862243111301,1,1.85474331677313,1,2.67928522910262,1,2.69640700154982,1,2.33333333333333,1,14.3201352795635,1,2.2548173712971,1,14.0830672545834,1,13.6543896163913,1,1.93437013266952,1,11.3681338361534,1,2.01712393513666,1,11.2599683338664,1,11.2576197079152,1,2.30452674897119,1,8.13000228842011,1,2.43781094527363,1,8.24013818665951,1,8.14954907493937,1,2.06751054852321,1,2.69740488307216,1,2.02898550724638,1,2.69837687159675,1,2.70591404322625,1,1.77506906292026,1,2.48759105589617,1,1.71325742257633,1,2.48576045465744,1,2.48314287993697,1,1.97680282400403,1,2.80746497672544,1,2.00871124775813,1,2.778713102842,1,2.75367686085872
1,1.70138888888889,1,2.82507867024744,1,1.74222222222222,1,2.82124712989858,1,2.81924636874263,1,1.47152994487863,1,2.38667540988059,1,1.4928846010708,1,2.38955978208496,1,2.38957526086959,1,1.66348398047952,1,2.63389989773797,1,1.739902352419,1,2.62616970387806,1,2.62813804544712,1,2.26458694396303,1,40.9494429867172,1,2.41082410824108,1,40.045339661236,1,40.6235830264275,1,1.83256117831849,1,61.0755169049349,1,2.22538156855785,1,60.2080495539275,1,60.2520691413807,1,2.18141346688926,1,40.965797292792,1,2.55707762557078,1,41.8478796081927,1,41.2449375664048,1,1.70360712733594,1,2.61452447874844,1,1.75156389633601,1,2.59657032809554,1,2.62430124440856,1,1.49387000344774,1,2.42676522325452,1,1.50880870348222,1,2.4242796909397,1,2.4232341381151,1,1.75391498881432,1,2.95274210211073,1,1.67092924126172,1,2.94370971940623,1,2.95060025297524
1,1.87335722819594,1,3.31249182559089,1,1.78995433789954,1,3.30936519503383,1,3.31989637648231,0,1.59045190107051,1,2.55370898561026,0,1.56840821567799,1,2.57712581684389,1,2.57503894877443,0,1.82367992556408,0,2.84875783105468,0,1.80728446288612,0,2.84188942566863,0,2.83171970024959,1,2.23552894211577,1,11.4516787183016,1,2.29441030143401,1,11.4477990642949,1,11.4725815544503,1,1.94267215040629,1,7.13654518860931,1,1.99754020761106,1,7.13582809447316,1,7.12738785039394,1,2.31063955201886,1,6.43801873896243,1,2.30452674897119,1,6.27232534520838,1,6.31608046214741,1,1.94879443201591,1,2.70501552395331,1,1.84297132110954,1,2.69597794181519,1,2.70013425708327,1,1.63055695621278,0,2.56916314574642,1,1.59831430453625,0,2.56881854687673,0,2.56831493578019,0,1.90060606060606,0,2.72538633419609,0,1.79857765542556,0,2.73195136675927,0,2.72405685896223
1,1.96049012253063,1,2.71873580651714,1,1.97829926823114,1,2.71384487476218,1,2.71146968877313,1,1.79335424344163,1,2.50727450750493,1,1.74361560494864,1,2.51070503212313,1,2.51026620117332,1,1.9358024691358,1,2.76115750787081,1,1.9372374598468,1,2.74530132551402,1,2.73402659475819,1,2.19977553310887,1,29.7598949842038,1,2.27642276422764,1,29.4431310145425,1,29.0256240642118,1,2.02978749347384,1,22.4304659970942,1,1.96459466599248,1,21.6774531707583,1,21.6775382972023,1,2.19607843137255,1,35.9299044400837,1,2.33541852844802,1,34.9970463830476,1,33.6883015852215,1,2.01801801801802,1,2.95970270462951,1,2.01025641025641,1,2.95075663739797,1,2.95099921048642,1,1.83107852364347,1,2.54750654421553,1,1.76675492211033,1,2.54523407520055,1,2.54393659262003,1,2.05936432886788,1,2.87868458970407,1,2.05612378704432,1,2.8829828179216,1,2.89773182927878
1,1.78384527872582,1,2.93618977441887,1,1.86800095306171,1,2.93293330320261,1,2.92801009806454,1,1.55440457089515,1,2.57366507768757,1,1.67026793743419,1,2.57453462150353,1,2.57371301829631,1,1.82750582750583,1,3.236713005046,1,1.88416246094689,1,3.22984066155369,1,3.23925295644864,1,2.33750745378652,1,4.05735696988615,1,2.35647730688308,1,4.0510501028733,1,3.98440644710292,1,2.00639455250295,1,3.58802723812714,1,1.96801135236812,1,3.62615737611261,1,3.61960386925548,1,2.35223522352235,1,4.90805690954315,1,2.34169653524492,1,4.8901403528164,1,4.86243576718722,0,1.84167253934696,0,3.16485523205747,0,1.82367992556408,0,3.15114482740238,0,3.16916329407086,1,1.65924710793499,1,2.59002760507176,1,1.63526954857177,1,2.5791614274638,1,2.57521216311679,1,1.86134852801519,1,2.83055406239342,1,1.91312835529527,1,2.82149288526424,1,2.82908226637725
1,1.85606060606061,1,2.73300674964633,1,1.98430777018476,1,2.7237688300256,1,2.73477363503631,1,1.62587144771791,1,2.46568370897704,1,1.65198033227981,1,2.46612080893757,1,2.46691575894354,1,1.90198932557011,1,2.79192524591942,1,1.9372374598468,1,2.81469395823564,1,2.79824324189122,1,2.29441030143401,1,127.565761333064,1,4.67501490757305,1,128.829398253717,1,132.110346023797,1,1.94267215040629,1,63.8646239920854,1,4.05593737495221,1,67.2681346920353,1,67.1012176139687,1,2.44694132334582,1,127.550910127861,1,4.84848484848485,1,131.417640954387,1,139.115548816644,0,1.8160759786889,1,2.85513073396149,0,1.91593352883675,1,2.83657560106555,1,2.80222655132063,1,1.60057500369401,1,2.46993398954445,1,1.70294436058942,1,2.46082671473095,1,2.46017129163258,1,1.89784555797628,1,2.87253770336371,1,1.90754257907543,1,2.8683213955941,1,2.80520578439305
1,1.84557438794727,1,2.77627226813075,1,1.94589228096302,1,2.77345111712357,1,2.76063358582202,1,1.64358246566691,1,2.54950128699354,1,1.59493520452666,1,2.54683584053657,1,2.54682253199954,1,1.80603547569684,1,2.84490538146207,1,1.89784555797628,1,2.83886409695886,1,2.83632001065266,1,2.43781094527363,1,4.80046916050496,1,2.29038854805726,1,4.79313845600168,1,4.75672852032622,1,2.05746641383939,1,5.21171938820474,1,1.95949182270418,1,5.19232578286374,1,5.19279489297153,1,2.30859835100118,1,7.39450016619425,1,2.20348510399101,1,7.32326778311715,1,7.19129601373099,1,2.02113946893529,1,3.12016593914896,1,2.01180395175776,1,3.11665670296749,1,3.115109446327,1,1.78065543290585,1,2.58498865332423,1,1.6826862864114,1,2.58844998706344,1,2.58780158960414,1,1.95902048975512,1,3.06966846780365,1,1.98581560283688,1,3.06545084245219,1,3.06099694618046
